,id,daynight,,,Lat,Lng
40:13.8,235,night,IERS2010 latitude +43.1145 N longitude 46.4325 E elevation 417427.0 m,,43.1145,46.4325
40:29.2,236,night,IERS2010 latitude +43.6392 N longitude 47.5361 E elevation 417565.7 m,,43.6392,47.5361
40:44.7,237,night,IERS2010 latitude +44.1515 N longitude 48.6598 E elevation 417703.5 m,,44.1515,48.6598
41:00.1,238,night,IERS2010 latitude +44.6515 N longitude 49.8044 E elevation 417840.3 m,,44.6515,49.8044
41:15.6,239,night,IERS2010 latitude +45.1383 N longitude 50.9690 E elevation 417975.7 m,,45.1383,50.969
41:31.0,240,night,IERS2010 latitude +45.6115 N longitude 52.1545 E elevation 418109.8 m,,45.6115,52.1545
41:46.5,241,night,IERS2010 latitude +46.0709 N longitude 53.3609 E elevation 418242.2 m,,46.0709,53.3609
42:01.9,242,night,IERS2010 latitude +46.5159 N longitude 54.5880 E elevation 418372.9 m,,46.5159,54.588
42:17.3,243,night,IERS2010 latitude +46.9460 N longitude 55.8362 E elevation 418501.6 m,,46.946,55.8362
42:32.8,244,night,IERS2010 latitude +47.3609 N longitude 57.1053 E elevation 418628.2 m,,47.3609,57.1053
42:48.2,245,night,IERS2010 latitude +47.7598 N longitude 58.3942 E elevation 418752.5 m,,47.7598,58.3942
43:03.7,246,night,IERS2010 latitude +48.1426 N longitude 59.7038 E elevation 418874.3 m,,48.1426,59.7038
43:19.1,247,night,IERS2010 latitude +48.5090 N longitude 61.0346 E elevation 418993.7 m,,48.509,61.0346
43:35.7,248,day,IERS2010 latitude +48.8580 N longitude 62.3842 E elevation 419110.3 m,,48.858,62.3842
43:52.3,249,day,IERS2010 latitude +49.2134 N longitude 63.8558 E elevation 419232.5 m,,49.2134,63.8558
44:08.9,250,day,IERS2010 latitude +49.5485 N longitude 65.3512 E elevation 419351.3 m,,49.5485,65.3512
44:25.6,251,day,IERS2010 latitude +49.8620 N longitude 66.8667 E elevation 419466.5 m,,49.862,66.8667
44:42.2,252,day,IERS2010 latitude +50.1537 N longitude 68.4030 E elevation 419578.1 m,,50.1537,68.403
44:58.8,253,day,IERS2010 latitude +50.4231 N longitude 69.9589 E elevation 419685.7 m,,50.4231,69.9589
45:15.4,254,day,IERS2010 latitude +50.6694 N longitude 71.5310 E elevation 419789.3 m,,50.6694,71.531
45:32.0,255,day,IERS2010 latitude +50.8924 N longitude 73.1206 E elevation 419888.9 m,,50.8924,73.1206
45:48.7,256,day,IERS2010 latitude +51.0916 N longitude 74.7245 E elevation 419984.1 m,,51.0916,74.7245
46:05.3,257,day,IERS2010 latitude +51.2667 N longitude 76.3417 E elevation 420075.0 m,,51.2667,76.3417
46:22.0,258,day,IERS2010 latitude +51.4177 N longitude 77.9752 E elevation 420161.7 m,,51.4177,77.9752
46:38.6,259,day,IERS2010 latitude +51.5438 N longitude 79.6183 E elevation 420243.9 m,,51.5438,79.6183
46:55.2,260,day,IERS2010 latitude +51.6445 N longitude 81.2662 E elevation 420321.3 m,,51.6445,81.2662
47:11.9,261,day,IERS2010 latitude +51.7203 N longitude 82.9244 E elevation 420394.2 m,,51.7203,82.9244
47:28.5,262,day,IERS2010 latitude +51.7706 N longitude 84.5889 E elevation 420462.5 m,,51.7706,84.5889
47:45.1,263,day,IERS2010 latitude +51.7953 N longitude 86.2507 E elevation 420525.9 m,,51.7953,86.2507
48:01.7,264,day,IERS2010 latitude +51.7946 N longitude 87.9123 E elevation 420584.5 m,,51.7946,87.9123
48:18.3,265,day,IERS2010 latitude +51.7684 N longitude 89.5743 E elevation 420638.3 m,,51.7684,89.5743
48:34.9,266,day,IERS2010 latitude +51.7169 N longitude 91.2293 E elevation 420687.3 m,,51.7169,91.2293
48:51.5,267,day,IERS2010 latitude +51.6399 N longitude 92.8848 E elevation 420731.7 m,,51.6399,92.8848
49:08.2,268,day,IERS2010 latitude +51.5378 N longitude 94.5317 E elevation 420771.2 m,,51.5378,94.5317
49:24.8,269,day,IERS2010 latitude +51.4108 N longitude 96.1703 E elevation 420806.0 m,,51.4108,96.1703
49:41.3,270,day,IERS2010 latitude +51.2591 N longitude 97.7979 E elevation 420836.1 m,,51.2591,97.7979
49:57.9,271,day,IERS2010 latitude +51.0835 N longitude 99.4095 E elevation 420861.4 m,,51.0835,99.4095
50:14.4,272,day,IERS2010 latitude +50.8844 N longitude 101.0046 E elevation 420882.2 m,,50.8844,101.0046
50:31.0,273,day,IERS2010 latitude +50.6616 N longitude 102.5856 E elevation 420898.3 m,,50.6616,102.5856
50:47.6,274,day,IERS2010 latitude +50.4150 N longitude 104.1549 E elevation 420910.1 m,,50.415,104.1549
51:04.1,275,day,IERS2010 latitude +50.1455 N longitude 105.7064 E elevation 420917.4 m,,50.1455,105.7064
51:20.7,276,day,IERS2010 latitude +49.8548 N longitude 107.2341 E elevation 420920.4 m,,49.8548,107.2341
51:37.3,277,day,IERS2010 latitude +49.5423 N longitude 108.7422 E elevation 420919.2 m,,49.5423,108.7422
51:53.9,278,day,IERS2010 latitude +49.2076 N longitude 110.2336 E elevation 420913.9 m,,49.2076,110.2336
52:10.4,279,day,IERS2010 latitude +48.8521 N longitude 111.7037 E elevation 420904.5 m,,48.8521,111.7037
52:26.9,280,day,IERS2010 latitude +48.4780 N longitude 113.1457 E elevation 420891.3 m,,48.478,113.1457
52:43.5,281,day,IERS2010 latitude +48.0838 N longitude 114.5669 E elevation 420874.3 m,,48.0838,114.5669
53:00.0,282,day,IERS2010 latitude +47.6697 N longitude 115.9678 E elevation 420853.7 m,,47.6697,115.9678
53:16.6,283,day,IERS2010 latitude +47.2384 N longitude 117.3409 E elevation 420829.6 m,,47.2384,117.3409
53:33.2,284,day,IERS2010 latitude +46.7873 N longitude 118.6961 E elevation 420802.1 m,,46.7873,118.6961
53:49.8,285,day,IERS2010 latitude +46.3189 N longitude 120.0269 E elevation 420771.5 m,,46.3189,120.0269
54:06.4,286,day,IERS2010 latitude +45.8339 N longitude 121.3327 E elevation 420737.8 m,,45.8339,121.3327
54:23.0,287,day,IERS2010 latitude +45.3317 N longitude 122.6171 E elevation 420701.2 m,,45.3317,122.6171
54:39.6,288,day,IERS2010 latitude +44.8137 N longitude 123.8774 E elevation 420662.0 m,,44.8137,123.8774
54:56.1,289,day,IERS2010 latitude +44.2817 N longitude 125.1109 E elevation 420620.3 m,,44.2817,125.1109
55:12.6,290,day,IERS2010 latitude +43.7381 N longitude 126.3143 E elevation 420576.6 m,,43.7381,126.3143
55:29.1,291,day,IERS2010 latitude +43.1802 N longitude 127.4955 E elevation 420530.9 m,,43.1802,127.4955
55:45.6,292,day,IERS2010 latitude +42.6093 N longitude 128.6530 E elevation 420483.2 m,,42.6093,128.653
56:02.0,293,day,IERS2010 latitude +42.0237 N longitude 129.7914 E elevation 420433.8 m,,42.0237,129.7914
56:18.6,294,day,IERS2010 latitude +41.4299 N longitude 130.8997 E elevation 420383.3 m,,41.4299,130.8997
56:35.2,295,day,IERS2010 latitude +40.8189 N longitude 131.9961 E elevation 420331.0 m,,40.8189,131.9961
56:51.8,296,day,IERS2010 latitude +40.1964 N longitude 133.0709 E elevation 420277.8 m,,40.1964,133.0709
57:08.4,297,day,IERS2010 latitude +39.5600 N longitude 134.1293 E elevation 420223.5 m,,39.56,134.1293
57:25.0,298,day,IERS2010 latitude +38.9133 N longitude 135.1663 E elevation 420168.6 m,,38.9133,135.1663
57:41.6,299,day,IERS2010 latitude +38.2567 N longitude 136.1827 E elevation 420113.4 m,,38.2567,136.1827
57:58.3,300,day,IERS2010 latitude +37.5903 N longitude 137.1794 E elevation 420058.1 m,,37.5903,137.1794
58:14.8,301,day,IERS2010 latitude +36.9132 N longitude 138.1588 E elevation 420002.8 m,,36.9132,138.1588
58:31.3,302,day,IERS2010 latitude +36.2321 N longitude 139.1126 E elevation 419948.2 m,,36.2321,139.1126
58:47.8,303,day,IERS2010 latitude +35.5409 N longitude 140.0508 E elevation 419894.1 m,,35.5409,140.0508
59:04.3,304,day,IERS2010 latitude +34.8440 N longitude 140.9683 E elevation 419841.0 m,,34.844,140.9683
59:20.8,305,day,IERS2010 latitude +34.1392 N longitude 141.8691 E elevation 419788.9 m,,34.1392,141.8691
59:37.3,306,day,IERS2010 latitude +33.4264 N longitude 142.7544 E elevation 419738.1 m,,33.4264,142.7544
59:53.8,307,day,IERS2010 latitude +32.7054 N longitude 143.6253 E elevation 419688.7 m,,32.7054,143.6253
00:10.3,308,day,IERS2010 latitude +31.9782 N longitude 144.4803 E elevation 419641.1 m,,31.9782,144.4803
00:26.8,309,day,IERS2010 latitude +31.2413 N longitude 145.3241 E elevation 419595.3 m,,31.2413,145.3241
00:43.4,310,day,IERS2010 latitude +30.5010 N longitude 146.1505 E elevation 419551.9 m,,30.501,146.1505
00:59.9,311,day,IERS2010 latitude +29.7519 N longitude 146.9662 E elevation 419510.8 m,,29.7519,146.9662
01:16.5,312,day,IERS2010 latitude +28.9996 N longitude 147.7660 E elevation 419472.5 m,,28.9996,147.766
01:33.1,313,day,IERS2010 latitude +28.2375 N longitude 148.5577 E elevation 419436.9 m,,28.2375,148.5577
01:49.7,314,day,IERS2010 latitude +27.4694 N longitude 149.3376 E elevation 419404.4 m,,27.4694,149.3376
02:06.3,315,day,IERS2010 latitude +26.6975 N longitude 150.1045 E elevation 419375.4 m,,26.6975,150.1045
02:22.9,316,day,IERS2010 latitude +25.9184 N longitude 150.8625 E elevation 419349.8 m,,25.9184,150.8625
02:39.5,317,day,IERS2010 latitude +25.1358 N longitude 151.6085 E elevation 419328.1 m,,25.1358,151.6085
02:56.1,318,day,IERS2010 latitude +24.3459 N longitude 152.3467 E elevation 419310.3 m,,24.3459,152.3467
03:12.7,319,day,IERS2010 latitude +23.5533 N longitude 153.0733 E elevation 419296.9 m,,23.5533,153.0733
03:29.3,320,day,IERS2010 latitude +22.7590 N longitude 153.7885 E elevation 419287.8 m,,22.759,153.7885
03:45.9,321,day,IERS2010 latitude +21.9589 N longitude 154.4962 E elevation 419283.4 m,,21.9589,154.4962
04:02.4,322,day,IERS2010 latitude +21.1584 N longitude 155.1925 E elevation 419283.8 m,,21.1584,155.1925
04:18.9,323,day,IERS2010 latitude +20.3547 N longitude 155.8803 E elevation 419289.1 m,,20.3547,155.8803
04:35.5,324,day,IERS2010 latitude +19.5479 N longitude 156.5602 E elevation 419299.6 m,,19.5479,156.5602
04:52.1,325,day,IERS2010 latitude +18.7374 N longitude 157.2331 E elevation 419315.3 m,,18.7374,157.2331
05:08.7,326,day,IERS2010 latitude +17.9200 N longitude 157.9021 E elevation 419336.6 m,,17.92,157.9021
05:25.4,327,day,IERS2010 latitude +17.0994 N longitude 158.5647 E elevation 419363.6 m,,17.0994,158.5647
05:42.0,328,day,IERS2010 latitude +16.2766 N longitude 159.2206 E elevation 419396.4 m,,16.2766,159.2206
05:58.6,329,day,IERS2010 latitude +15.4531 N longitude 159.8689 E elevation 419435.1 m,,15.4531,159.8689
06:15.2,330,day,IERS2010 latitude +14.6259 N longitude 160.5127 E elevation 419479.9 m,,14.6259,160.5127
06:31.8,331,day,IERS2010 latitude +13.7959 N longitude 161.1516 E elevation 419530.9 m,,13.7959,161.1516
06:48.4,332,day,IERS2010 latitude +12.9660 N longitude 161.7839 E elevation 419588.1 m,,12.966,161.7839
07:05.0,333,day,IERS2010 latitude +12.1322 N longitude 162.4130 E elevation 419651.9 m,,12.1322,162.413
07:21.6,334,day,IERS2010 latitude +11.2972 N longitude 163.0373 E elevation 419722.1 m,,11.2972,163.0373
07:38.2,335,day,IERS2010 latitude +10.4610 N longitude 163.6574 E elevation 419798.9 m,,10.461,163.6574
07:54.7,336,day,IERS2010 latitude +9.6253 N longitude 164.2722 E elevation 419882.1 m,,9.6253,164.2722
08:11.3,337,day,IERS2010 latitude +8.7899 N longitude 164.8824 E elevation 419971.9 m,,8.7899,164.8824
08:27.8,338,day,IERS2010 latitude +7.9524 N longitude 165.4903 E elevation 420068.5 m,,7.9524,165.4903
08:44.3,339,day,IERS2010 latitude +7.1149 N longitude 166.0946 E elevation 420171.7 m,,7.1149,166.0946
09:00.9,340,day,IERS2010 latitude +6.2772 N longitude 166.6959 E elevation 420281.7 m,,6.2772,166.6959
09:17.4,341,day,IERS2010 latitude +5.4359 N longitude 167.2969 E elevation 420398.8 m,,5.4359,167.2969
09:33.9,342,day,IERS2010 latitude +4.5972 N longitude 167.8938 E elevation 420522.4 m,,4.5972,167.8938
09:50.5,343,day,IERS2010 latitude +3.7558 N longitude 168.4906 E elevation 420653.1 m,,3.7558,168.4906
10:07.1,344,day,IERS2010 latitude +2.9135 N longitude 169.0863 E elevation 420790.7 m,,2.9135,169.0863
10:23.6,345,day,IERS2010 latitude +2.0697 N longitude 169.6818 E elevation 420935.3 m,,2.0697,169.6818
10:40.2,346,day,IERS2010 latitude +1.2271 N longitude 170.2755 E elevation 421086.6 m,,1.2271,170.2755
10:56.8,347,day,IERS2010 latitude +0.3816 N longitude 170.8708 E elevation 421245.1 m,,0.3816,170.8708
11:13.3,348,day,IERS2010 latitude -0.4630 N longitude 171.4653 E elevation 421410.3 m,,-0.463,171.4653
11:29.9,349,day,IERS2010 latitude -1.3054 N longitude 172.0584 E elevation 421581.7 m,,-1.3054,172.0584
11:46.5,350,day,IERS2010 latitude -2.1506 N longitude 172.6541 E elevation 421760.3 m,,-2.1506,172.6541
12:03.0,351,day,IERS2010 latitude -2.9949 N longitude 173.2500 E elevation 421945.4 m,,-2.9949,173.25
12:19.6,352,day,IERS2010 latitude -3.8349 N longitude 173.8442 E elevation 422136.1 m,,-3.8349,173.8442
12:36.2,353,day,IERS2010 latitude -4.6785 N longitude 174.4427 E elevation 422334.1 m,,-4.6785,174.4427
12:52.8,354,day,IERS2010 latitude -5.5206 N longitude 175.0421 E elevation 422538.1 m,,-5.5206,175.0421
13:09.4,355,day,IERS2010 latitude -6.3629 N longitude 175.6441 E elevation 422748.6 m,,-6.3629,175.6441
13:26.0,356,day,IERS2010 latitude -7.2043 N longitude 176.2483 E elevation 422965.0 m,,-7.2043,176.2483
13:42.6,357,day,IERS2010 latitude -8.0452 N longitude 176.8554 E elevation 423187.4 m,,-8.0452,176.8554
13:59.3,358,day,IERS2010 latitude -8.8853 N longitude 177.4655 E elevation 423415.7 m,,-8.8853,177.4655
14:15.9,359,day,IERS2010 latitude -9.7241 N longitude 178.0786 E elevation 423649.6 m,,-9.7241,178.0786
14:32.5,360,day,IERS2010 latitude -10.5621 N longitude 178.6956 E elevation 423889.0 m,,-10.5621,178.6956
14:49.1,361,day,IERS2010 latitude -11.3976 N longitude 179.3157 E elevation 424133.4 m,,-11.3976,179.3157
15:05.7,362,day,IERS2010 latitude -12.2301 N longitude 179.9387 E elevation 424382.4 m,,-12.2301,179.9387
15:22.3,363,day,IERS2010 latitude -13.0631 N longitude -179.4322 E elevation 424636.9 m,,-13.0631,-179.4322
15:38.9,364,day,IERS2010 latitude -13.8903 N longitude -178.8013 E elevation 424894.9 m,,-13.8903,-178.8013
15:55.4,365,day,IERS2010 latitude -14.7177 N longitude -178.1638 E elevation 425157.9 m,,-14.7177,-178.1638
16:12.0,366,day,IERS2010 latitude -15.5395 N longitude -177.5236 E elevation 425424.0 m,,-15.5395,-177.5236
16:28.5,367,day,IERS2010 latitude -16.3618 N longitude -176.8754 E elevation 425695.0 m,,-16.3618,-176.8754
16:45.1,368,day,IERS2010 latitude -17.1757 N longitude -176.2260 E elevation 425967.7 m,,-17.1757,-176.226
17:01.6,369,day,IERS2010 latitude -17.9912 N longitude -175.5668 E elevation 426245.3 m,,-17.9912,-175.5668
17:18.1,370,day,IERS2010 latitude -18.8006 N longitude -174.9038 E elevation 426524.9 m,,-18.8006,-174.9038
17:34.7,371,day,IERS2010 latitude -19.6083 N longitude -174.2325 E elevation 426807.9 m,,-19.6083,-174.2325
17:51.3,372,day,IERS2010 latitude -20.4163 N longitude -173.5511 E elevation 427094.7 m,,-20.4163,-173.5511
18:07.9,373,day,IERS2010 latitude -21.2196 N longitude -172.8629 E elevation 427383.5 m,,-21.2196,-172.8629
18:24.5,374,day,IERS2010 latitude -22.0214 N longitude -172.1648 E elevation 427675.1 m,,-22.0214,-172.1648
18:41.1,375,day,IERS2010 latitude -22.8184 N longitude -171.4590 E elevation 427968.1 m,,-22.8184,-171.459
18:57.7,376,day,IERS2010 latitude -23.6128 N longitude -170.7430 E elevation 428263.2 m,,-23.6128,-170.743
19:14.3,377,day,IERS2010 latitude -24.4022 N longitude -170.0184 E elevation 428559.2 m,,-24.4022,-170.0184
19:30.9,378,day,IERS2010 latitude -25.1866 N longitude -169.2845 E elevation 428855.9 m,,-25.1866,-169.2845
19:47.5,379,day,IERS2010 latitude -25.9637 N longitude -168.5432 E elevation 429152.1 m,,-25.9637,-168.5432
20:04.1,380,day,IERS2010 latitude -26.7401 N longitude -167.7871 E elevation 429450.3 m,,-26.7401,-167.7871
20:20.3,381,day,IERS2010 latitude -27.5106 N longitude -167.0209 E elevation 429748.1 m,,-27.5106,-167.0209
20:37.0,382,day,IERS2010 latitude -28.2612 N longitude -166.2582 E elevation 430039.9 m,,-28.2612,-166.2582
20:53.6,383,day,IERS2010 latitude -29.0226 N longitude -165.4669 E elevation 430337.4 m,,-29.0226,-165.4669
21:10.2,384,day,IERS2010 latitude -29.7774 N longitude -164.6641 E elevation 430633.6 m,,-29.7774,-164.6641
21:26.8,385,day,IERS2010 latitude -30.5263 N longitude -163.8481 E elevation 430928.6 m,,-30.5263,-163.8481
21:43.4,386,day,IERS2010 latitude -31.2699 N longitude -163.0174 E elevation 431222.5 m,,-31.2699,-163.0174
22:00.1,387,day,IERS2010 latitude -32.0065 N longitude -162.1734 E elevation 431514.3 m,,-32.0065,-162.1734
22:16.7,388,day,IERS2010 latitude -32.7358 N longitude -161.3153 E elevation 431803.7 m,,-32.7358,-161.3153
22:32.9,389,day,IERS2010 latitude -33.4581 N longitude -160.4420 E elevation 432090.6 m,,-33.4581,-160.442
22:49.6,390,day,IERS2010 latitude -34.1590 N longitude -159.5708 E elevation 432369.2 m,,-34.159,-159.5708
23:06.2,391,day,IERS2010 latitude -34.8666 N longitude -158.6658 E elevation 432650.3 m,,-34.8666,-158.6658
23:22.8,392,day,IERS2010 latitude -35.5662 N longitude -157.7440 E elevation 432928.0 m,,-35.5662,-157.744
23:39.4,393,day,IERS2010 latitude -36.2568 N longitude -156.8059 E elevation 433201.7 m,,-36.2568,-156.8059
23:55.9,394,day,IERS2010 latitude -36.9378 N longitude -155.8514 E elevation 433470.9 m,,-36.9378,-155.8514
24:12.6,395,day,IERS2010 latitude -37.6099 N longitude -154.8784 E elevation 433735.9 m,,-37.6099,-154.8784
24:29.1,396,day,IERS2010 latitude -38.2733 N longitude -153.8856 E elevation 433996.5 m,,-38.2733,-153.8856
24:45.7,397,day,IERS2010 latitude -38.9231 N longitude -152.8793 E elevation 434250.6 m,,-38.9231,-152.8793
25:02.2,398,day,IERS2010 latitude -39.5663 N longitude -151.8477 E elevation 434500.9 m,,-39.5663,-151.8477
25:18.9,399,day,IERS2010 latitude -40.1977 N longitude -150.7975 E elevation 434745.2 m,,-40.1977,-150.7975
25:35.4,400,day,IERS2010 latitude -40.8196 N longitude -149.7240 E elevation 434984.2 m,,-40.8196,-149.724
25:52.0,401,day,IERS2010 latitude -41.4276 N longitude -148.6335 E elevation 435216.2 m,,-41.4276,-148.6335
26:08.6,402,day,IERS2010 latitude -42.0253 N longitude -147.5181 E elevation 435442.4 m,,-42.0253,-147.5181
26:25.3,403,day,IERS2010 latitude -42.6115 N longitude -146.3785 E elevation 435662.4 m,,-42.6115,-146.3785
26:41.9,404,day,IERS2010 latitude -43.1843 N longitude -145.2173 E elevation 435875.1 m,,-43.1843,-145.2173
26:58.5,405,day,IERS2010 latitude -43.7435 N longitude -144.0332 E elevation 436080.6 m,,-43.7435,-144.0332
27:15.1,406,day,IERS2010 latitude -44.2883 N longitude -142.8267 E elevation 436278.5 m,,-44.2883,-142.8267
27:31.7,407,day,IERS2010 latitude -44.8194 N longitude -141.5949 E elevation 436468.9 m,,-44.8194,-141.5949
27:48.3,408,day,IERS2010 latitude -45.3347 N longitude -140.3409 E elevation 436651.1 m,,-45.3347,-140.3409
28:05.0,409,day,IERS2010 latitude -45.8347 N longitude -139.0623 E elevation 436825.2 m,,-45.8347,-139.0623
28:21.6,410,day,IERS2010 latitude -46.3188 N longitude -137.7591 E elevation 436990.9 m,,-46.3188,-137.7591
28:38.2,411,day,IERS2010 latitude -46.7858 N longitude -136.4327 E elevation 437147.9 m,,-46.7858,-136.4327
28:54.9,412,day,IERS2010 latitude -47.2357 N longitude -135.0816 E elevation 437296.0 m,,-47.2357,-135.0816
29:11.5,413,day,IERS2010 latitude -47.6685 N longitude -133.7042 E elevation 437435.3 m,,-47.6685,-133.7042
29:28.1,414,day,IERS2010 latitude -48.0820 N longitude -132.3060 E elevation 437565.1 m,,-48.082,-132.306
29:44.8,415,day,IERS2010 latitude -48.4761 N longitude -130.8858 E elevation 437685.3 m,,-48.4761,-130.8858
30:01.3,416,day,IERS2010 latitude -48.8506 N longitude -129.4433 E elevation 437795.8 m,,-48.8506,-129.4433
30:17.9,417,day,IERS2010 latitude -49.2034 N longitude -127.9851 E elevation 437896.2 m,,-49.2034,-127.9851
30:33.4,418,night,IERS2010 latitude -49.5373 N longitude -126.4990 E elevation 437987.1 m,,-49.5373,-126.499
30:50.0,419,day,IERS2010 latitude -49.8285 N longitude -125.0995 E elevation 438062.6 m,,-49.8285,-125.0995
31:06.5,420,day,IERS2010 latitude -50.1208 N longitude -123.5757 E elevation 438133.9 m,,-50.1208,-123.5757
31:23.1,421,day,IERS2010 latitude -50.3907 N longitude -122.0352 E elevation 438194.8 m,,-50.3907,-122.0352
31:39.7,422,day,IERS2010 latitude -50.6383 N longitude -120.4757 E elevation 438245.5 m,,-50.6383,-120.4757
31:56.3,423,day,IERS2010 latitude -50.8628 N longitude -118.9005 E elevation 438285.6 m,,-50.8628,-118.9005
32:12.9,424,day,IERS2010 latitude -51.0639 N longitude -117.3106 E elevation 438315.1 m,,-51.0639,-117.3106
32:29.5,425,day,IERS2010 latitude -51.2415 N longitude -115.7046 E elevation 438334.1 m,,-51.2415,-115.7046
32:47.2,426,day,IERS2010 latitude -51.3950 N longitude -114.0875 E elevation 438342.3 m,,-51.395,-114.0875
33:03.7,427,day,IERS2010 latitude -51.5313 N longitude -112.3567 E elevation 438339.2 m,,-51.5313,-112.3567
33:20.3,428,day,IERS2010 latitude -51.6340 N longitude -110.7239 E elevation 438325.2 m,,-51.634,-110.7239
33:36.9,429,day,IERS2010 latitude -51.7120 N longitude -109.0815 E elevation 438300.3 m,,-51.712,-109.0815
33:53.5,430,day,IERS2010 latitude -51.7650 N longitude -107.4356 E elevation 438264.7 m,,-51.765,-107.4356
34:10.1,431,day,IERS2010 latitude -51.7930 N longitude -105.7835 E elevation 438218.1 m,,-51.793,-105.7835
34:26.7,432,day,IERS2010 latitude -51.7958 N longitude -104.1299 E elevation 438160.6 m,,-51.7958,-104.1299
34:43.4,433,day,IERS2010 latitude -51.7734 N longitude -102.4768 E elevation 438092.3 m,,-51.7734,-102.4768
35:00.0,434,day,IERS2010 latitude -51.7257 N longitude -100.8233 E elevation 438013.0 m,,-51.7257,-100.8233
35:16.6,435,day,IERS2010 latitude -51.6530 N longitude -99.1784 E elevation 437923.1 m,,-51.653,-99.1784
35:32.0,436,night,IERS2010 latitude -51.5557 N longitude -97.5430 E elevation 437822.8 m,,-51.5557,-97.543
35:47.4,437,night,IERS2010 latitude -51.4428 N longitude -96.0262 E elevation 437719.7 m,,-51.4428,-96.0262
36:02.9,438,night,IERS2010 latitude -51.3087 N longitude -94.5173 E elevation 437607.4 m,,-51.3087,-94.5173
36:18.3,439,night,IERS2010 latitude -51.1537 N longitude -93.0185 E elevation 437486.0 m,,-51.1537,-93.0185
36:33.8,440,night,IERS2010 latitude -50.9780 N longitude -91.5318 E elevation 437355.8 m,,-50.978,-91.5318
36:49.2,441,night,IERS2010 latitude -50.7817 N longitude -90.0555 E elevation 437216.4 m,,-50.7817,-90.0555
37:04.7,442,night,IERS2010 latitude -50.5651 N longitude -88.5926 E elevation 437068.3 m,,-50.5651,-88.5926
37:20.1,443,night,IERS2010 latitude -50.3289 N longitude -87.1450 E elevation 436911.4 m,,-50.3289,-87.145
37:35.6,444,night,IERS2010 latitude -50.0733 N longitude -85.7130 E elevation 436746.0 m,,-50.0733,-85.713
37:51.0,445,night,IERS2010 latitude -49.7986 N longitude -84.2976 E elevation 436572.2 m,,-49.7986,-84.2976
38:06.5,446,night,IERS2010 latitude -49.5052 N longitude -82.8992 E elevation 436390.0 m,,-49.5052,-82.8992
38:21.9,447,night,IERS2010 latitude -49.1934 N longitude -81.5178 E elevation 436199.4 m,,-49.1934,-81.5178
38:37.3,448,night,IERS2010 latitude -48.8638 N longitude -80.1555 E elevation 436000.9 m,,-48.8638,-80.1555
38:52.8,449,night,IERS2010 latitude -48.5170 N longitude -78.8126 E elevation 435794.5 m,,-48.517,-78.8126
39:08.2,450,night,IERS2010 latitude -48.1530 N longitude -77.4891 E elevation 435580.3 m,,-48.153,-77.4891
39:23.7,451,night,IERS2010 latitude -47.7726 N longitude -76.1853 E elevation 435358.5 m,,-47.7726,-76.1853
39:39.1,452,night,IERS2010 latitude -47.3760 N longitude -74.9015 E elevation 435129.3 m,,-47.376,-74.9015
39:54.6,453,night,IERS2010 latitude -46.9639 N longitude -73.6385 E elevation 434892.9 m,,-46.9639,-73.6385
40:10.0,454,night,IERS2010 latitude -46.5363 N longitude -72.3955 E elevation 434649.4 m,,-46.5363,-72.3955
40:25.4,455,night,IERS2010 latitude -46.0941 N longitude -71.1730 E elevation 434398.9 m,,-46.0941,-71.173
40:40.9,456,night,IERS2010 latitude -45.6378 N longitude -69.9718 E elevation 434142.0 m,,-45.6378,-69.9718
40:56.3,457,night,IERS2010 latitude -45.1677 N longitude -68.7912 E elevation 433878.6 m,,-45.1677,-68.7912
41:11.8,458,night,IERS2010 latitude -44.6839 N longitude -67.6306 E elevation 433608.8 m,,-44.6839,-67.6306
41:27.2,459,night,IERS2010 latitude -44.1872 N longitude -66.4905 E elevation 433333.1 m,,-44.1872,-66.4905
41:42.7,460,night,IERS2010 latitude -43.6782 N longitude -65.3710 E elevation 433051.7 m,,-43.6782,-65.371
41:58.1,461,night,IERS2010 latitude -43.1570 N longitude -64.2713 E elevation 432764.6 m,,-43.157,-64.2713
42:13.6,462,night,IERS2010 latitude -42.6240 N longitude -63.1913 E elevation 432472.2 m,,-42.624,-63.1913
42:29.0,463,night,IERS2010 latitude -42.0797 N longitude -62.1307 E elevation 432174.7 m,,-42.0797,-62.1307
42:44.4,464,night,IERS2010 latitude -41.5245 N longitude -61.0894 E elevation 431872.4 m,,-41.5245,-61.0894
42:59.9,465,night,IERS2010 latitude -40.9590 N longitude -60.0672 E elevation 431565.5 m,,-40.959,-60.0672
43:15.3,466,night,IERS2010 latitude -40.3830 N longitude -59.0629 E elevation 431254.2 m,,-40.383,-59.0629
43:30.8,467,night,IERS2010 latitude -39.7973 N longitude -58.0769 E elevation 430938.8 m,,-39.7973,-58.0769
43:46.2,468,night,IERS2010 latitude -39.2024 N longitude -57.1089 E elevation 430619.7 m,,-39.2024,-57.1089
44:01.6,469,night,IERS2010 latitude -38.5983 N longitude -56.1579 E elevation 430296.9 m,,-38.5983,-56.1579
44:17.1,470,night,IERS2010 latitude -37.9866 N longitude -55.2258 E elevation 429971.5 m,,-37.9866,-55.2258
44:32.5,471,night,IERS2010 latitude -37.3654 N longitude -54.3084 E elevation 429642.4 m,,-37.3654,-54.3084
