,id,daynight,,,Lat,Lng
52:51.7,54,day,IERS2010 latitude -41.1026 N longitude -125.6244 E elevation 435093.8 m,,-41.1026,-125.6244
53:08.3,55,day,IERS2010 latitude -41.7053 N longitude -124.5235 E elevation 435322.7 m,,-41.7053,-124.5235
53:24.9,56,day,IERS2010 latitude -42.2965 N longitude -123.3996 E elevation 435545.2 m,,-42.2965,-123.3996
53:41.5,57,day,IERS2010 latitude -42.8768 N longitude -122.2496 E elevation 435761.6 m,,-42.8768,-122.2496
53:58.1,58,day,IERS2010 latitude -43.4419 N longitude -121.0811 E elevation 435970.2 m,,-43.4419,-121.0811
54:14.7,59,day,IERS2010 latitude -43.9952 N longitude -119.8855 E elevation 436172.1 m,,-43.9952,-119.8855
54:31.3,60,day,IERS2010 latitude -44.5338 N longitude -118.6674 E elevation 436366.3 m,,-44.5338,-118.6674
54:47.9,61,day,IERS2010 latitude -45.0573 N longitude -117.4263 E elevation 436552.6 m,,-45.0573,-117.4263
55:04.5,62,day,IERS2010 latitude -45.5657 N longitude -116.1610 E elevation 436730.8 m,,-45.5657,-116.161
55:21.2,63,day,IERS2010 latitude -46.0581 N longitude -114.8723 E elevation 436900.6 m,,-46.0581,-114.8723
55:37.8,64,day,IERS2010 latitude -46.5353 N longitude -113.5558 E elevation 437062.3 m,,-46.5353,-113.5558
55:54.5,65,day,IERS2010 latitude -46.9945 N longitude -112.2183 E elevation 437214.9 m,,-46.9945,-112.2183
56:11.1,66,day,IERS2010 latitude -47.4360 N longitude -110.8570 E elevation 437358.6 m,,-47.436,-110.857
56:27.7,67,day,IERS2010 latitude -47.8593 N longitude -109.4725 E elevation 437493.0 m,,-47.8593,-109.4725
56:44.3,68,day,IERS2010 latitude -48.2638 N longitude -108.0652 E elevation 437618.0 m,,-48.2638,-108.0652
57:00.9,69,day,IERS2010 latitude -48.6490 N longitude -106.6346 E elevation 437733.6 m,,-48.649,-106.6346
57:17.5,70,day,IERS2010 latitude -49.0147 N longitude -105.1808 E elevation 437839.5 m,,-49.0147,-105.1808
57:33.0,71,night,IERS2010 latitude -49.3594 N longitude -103.7079 E elevation 437935.4 m,,-49.3594,-103.7079
57:49.6,72,day,IERS2010 latitude -49.6613 N longitude -102.3186 E elevation 438015.7 m,,-49.6613,-102.3186
58:06.1,73,day,IERS2010 latitude -49.9651 N longitude -100.8068 E elevation 438092.1 m,,-49.9651,-100.8068
58:22.7,74,day,IERS2010 latitude -50.2471 N longitude -99.2757 E elevation 438158.4 m,,-50.2471,-99.2757
58:39.3,75,day,IERS2010 latitude -50.5064 N longitude -97.7288 E elevation 438214.3 m,,-50.5064,-97.7288
58:55.9,76,day,IERS2010 latitude -50.7432 N longitude -96.1644 E elevation 438259.8 m,,-50.7432,-96.1644
59:12.4,77,day,IERS2010 latitude -50.9571 N longitude -94.5826 E elevation 438294.9 m,,-50.9571,-94.5826
59:28.8,78,day,IERS2010 latitude -51.1474 N longitude -92.9867 E elevation 438319.4 m,,-51.1474,-92.9867
59:45.4,79,day,IERS2010 latitude -51.3114 N longitude -91.4034 E elevation 438333.0 m,,-51.3114,-91.4034
00:01.9,80,day,IERS2010 latitude -51.4542 N longitude -89.7819 E elevation 438336.3 m,,-51.4542,-89.7819
00:17.3,81,night,IERS2010 latitude -51.5720 N longitude -88.1595 E elevation 438328.8 m,,-51.572,-88.1595
00:32.7,82,night,IERS2010 latitude -51.6600 N longitude -86.6340 E elevation 438312.2 m,,-51.66,-86.634
00:49.3,83,day,IERS2010 latitude -51.7262 N longitude -85.1101 E elevation 438286.3 m,,-51.7262,-85.1101
01:05.9,84,day,IERS2010 latitude -51.7736 N longitude -83.4610 E elevation 438247.8 m,,-51.7736,-83.461
01:22.5,85,day,IERS2010 latitude -51.7959 N longitude -81.8062 E elevation 438198.5 m,,-51.7959,-81.8062
01:39.2,86,day,IERS2010 latitude -51.7929 N longitude -80.1536 E elevation 438138.3 m,,-51.7929,-80.1536
01:55.8,87,day,IERS2010 latitude -51.7647 N longitude -78.5012 E elevation 438067.3 m,,-51.7647,-78.5012
02:12.4,88,day,IERS2010 latitude -51.7113 N longitude -76.8498 E elevation 437985.4 m,,-51.7113,-76.8498
02:29.0,89,day,IERS2010 latitude -51.6329 N longitude -75.2053 E elevation 437892.8 m,,-51.6329,-75.2053
02:44.5,90,night,IERS2010 latitude -51.5296 N longitude -73.5672 E elevation 437789.5 m,,-51.5296,-73.5672
02:59.9,91,night,IERS2010 latitude -51.4113 N longitude -72.0507 E elevation 437683.8 m,,-51.4113,-72.0507
03:15.4,92,night,IERS2010 latitude -51.2718 N longitude -70.5435 E elevation 437568.9 m,,-51.2718,-70.5435
03:30.9,93,night,IERS2010 latitude -51.1112 N longitude -69.0443 E elevation 437444.9 m,,-51.1112,-69.0443
03:46.3,94,night,IERS2010 latitude -50.9300 N longitude -67.5578 E elevation 437311.9 m,,-50.93,-67.5578
04:01.8,95,night,IERS2010 latitude -50.7283 N longitude -66.0836 E elevation 437170.0 m,,-50.7283,-66.0836
04:17.2,96,night,IERS2010 latitude -50.5070 N longitude -64.6262 E elevation 437019.7 m,,-50.507,-64.6262
04:32.7,97,night,IERS2010 latitude -50.2653 N longitude -63.1797 E elevation 436860.2 m,,-50.2653,-63.1797
04:48.2,98,night,IERS2010 latitude -50.0046 N longitude -61.7509 E elevation 436692.3 m,,-50.0046,-61.7509
05:03.6,99,night,IERS2010 latitude -49.7243 N longitude -60.3361 E elevation 436515.7 m,,-49.7243,-60.3361
05:19.1,100,night,IERS2010 latitude -49.4257 N longitude -58.9400 E elevation 436330.9 m,,-49.4257,-58.94
05:34.6,101,night,IERS2010 latitude -49.1088 N longitude -57.5619 E elevation 436137.8 m,,-49.1088,-57.5619
05:50.0,102,night,IERS2010 latitude -48.7741 N longitude -56.2027 E elevation 435936.8 m,,-48.7741,-56.2027
06:05.5,103,night,IERS2010 latitude -48.4221 N longitude -54.8624 E elevation 435727.8 m,,-48.4221,-54.8624
06:21.0,104,night,IERS2010 latitude -48.0531 N longitude -53.5421 E elevation 435511.1 m,,-48.0531,-53.5421
06:36.4,105,night,IERS2010 latitude -47.6678 N longitude -52.2418 E elevation 435286.9 m,,-47.6678,-52.2418
06:51.9,106,night,IERS2010 latitude -47.2664 N longitude -50.9618 E elevation 435055.3 m,,-47.2664,-50.9618
07:07.4,107,night,IERS2010 latitude -46.8494 N longitude -49.7023 E elevation 434816.4 m,,-46.8494,-49.7023
07:22.8,108,night,IERS2010 latitude -46.4172 N longitude -48.4630 E elevation 434570.5 m,,-46.4172,-48.463
07:38.3,109,night,IERS2010 latitude -45.9705 N longitude -47.2447 E elevation 434317.9 m,,-45.9705,-47.2447
07:53.8,110,night,IERS2010 latitude -45.5095 N longitude -46.0469 E elevation 434058.5 m,,-45.5095,-46.0469
08:09.3,111,night,IERS2010 latitude -45.0347 N longitude -44.8697 E elevation 433792.8 m,,-45.0347,-44.8697
08:24.7,112,night,IERS2010 latitude -44.5465 N longitude -43.7129 E elevation 433520.8 m,,-44.5465,-43.7129
08:40.2,113,night,IERS2010 latitude -44.0454 N longitude -42.5766 E elevation 433242.9 m,,-44.0454,-42.5766
08:55.7,114,night,IERS2010 latitude -43.5320 N longitude -41.4608 E elevation 432959.2 m,,-43.532,-41.4608
09:11.1,115,night,IERS2010 latitude -43.0064 N longitude -40.3646 E elevation 432670.0 m,,-43.0064,-40.3646
09:26.6,116,night,IERS2010 latitude -42.4694 N longitude -39.2886 E elevation 432375.6 m,,-42.4694,-39.2886
09:42.1,117,night,IERS2010 latitude -41.9212 N longitude -38.2322 E elevation 432076.3 m,,-41.9212,-38.2322
09:57.5,118,night,IERS2010 latitude -41.3620 N longitude -37.1946 E elevation 431772.0 m,,-41.362,-37.1946
10:13.0,119,night,IERS2010 latitude -40.7926 N longitude -36.1762 E elevation 431463.3 m,,-40.7926,-36.1762
10:28.5,120,night,IERS2010 latitude -40.2130 N longitude -35.1760 E elevation 431150.3 m,,-40.213,-35.176
10:43.9,121,night,IERS2010 latitude -39.6239 N longitude -34.1940 E elevation 430833.4 m,,-39.6239,-34.194
10:59.4,122,night,IERS2010 latitude -39.0250 N longitude -33.2291 E elevation 430512.4 m,,-39.025,-33.2291
11:14.8,123,night,IERS2010 latitude -38.4176 N longitude -32.2823 E elevation 430188.3 m,,-38.4176,-32.2823
11:30.3,124,night,IERS2010 latitude -37.8013 N longitude -31.3519 E elevation 429860.8 m,,-37.8013,-31.3519
11:45.8,125,night,IERS2010 latitude -37.1766 N longitude -30.4380 E elevation 429530.3 m,,-37.1766,-30.438
12:01.2,126,night,IERS2010 latitude -36.5441 N longitude -29.5402 E elevation 429197.3 m,,-36.5441,-29.5402
12:16.7,127,night,IERS2010 latitude -35.9036 N longitude -28.6578 E elevation 428861.7 m,,-35.9036,-28.6578
12:32.2,128,night,IERS2010 latitude -35.2558 N longitude -27.7905 E elevation 428524.0 m,,-35.2558,-27.7905
12:47.6,129,night,IERS2010 latitude -34.6007 N longitude -26.9380 E elevation 428184.5 m,,-34.6007,-26.938
13:03.1,130,night,IERS2010 latitude -33.9386 N longitude -26.0995 E elevation 427843.3 m,,-33.9386,-26.0995
13:18.6,131,night,IERS2010 latitude -33.2700 N longitude -25.2750 E elevation 427500.9 m,,-33.27,-25.275
13:34.0,132,night,IERS2010 latitude -32.5950 N longitude -24.4640 E elevation 427157.4 m,,-32.595,-24.464
